x1, x2, 
0.428009, 0.216719, 
0.829421, -0.376449, 
0.847128, -0.55649, 
0.229061, 0.551254, 
0.201566, 0.766455, 
0.642754, -0.205147, 
0.416204, 0.387236, 
0.63927, -0.162107, 
0.413433, 0.457772, 
0.833036, -0.382168, 
0.416047, 0.396772, 
0.426021, 0.26616, 
0.233145, 0.534107, 
0.651817, -0.22, 
0.418301, 0.372122, 
0.0879302, 0.875258, 
0.0120927, 1.13892, 
0.0404204, 1.01367, 
0.225141, 0.556378, 
0.253571, 0.465309, 
0.636947, -0.147413, 
0.845488, -0.552134, 
0.197813, 0.784903, 
0.0580436, 0.914441, 
0.239871, 0.476283, 
0.441218, 0.101129, 
0.204908, 0.735066, 
0.631653, -0.14024, 
0.21985, 0.618092, 
0.825501, -0.268252, 
0.196908, 0.795525, 
0.0213808, 1.06176, 
0.222804, 0.608545, 
0.185982, 0.839302, 
0.0356676, 1.01737, 
0.624184, 0.00984308, 
0.187069, 0.799703, 
0.0831215, 0.891988, 
0.0130732, 1.12062, 
0.853567, -0.583422, 
0.223851, 0.560792, 
0.838282, -0.518424, 
0.42752, 0.249445, 
0.630728, -0.0939371, 
0.0334382, 1.02179, 
0.0486112, 0.954983, 
0.848854, -0.580167, 
0.421515, 0.266275, 
0.417907, 0.381305, 
0.2154, 0.63477, 
0.646882, -0.216017, 
0.00587996, 1.17275, 
0.0712912, 0.911928, 
0.209269, 0.677271, 
0.450799, 0.0242301, 
0.0010579, 1.21567, 
0, 1.23221, 
0.269013, 0.460416, 
0.413608, 0.407653, 
0.654495, -0.256943, 
0.235483, 0.525752, 
0.438628, 0.124746, 
0.248646, 0.469445, 
0.837312, -0.454377, 
0.838005, -0.460938, 
0.433741, 0.190231, 
0.436539, 0.155353, 
0.0300365, 1.05847, 
0.418659, 0.321201, 
0.441998, 0.0787997, 
0.853524, -0.557385, 
0, 1.28993, 
0.829532, -0.370816, 
0.654626, -0.229413, 
0.414012, 0.443532, 
0.45333, 0.0642923, 
0.622117, 0.0458903, 
0.260227, 0.467772, 
0.0918222, 0.896167, 
0.179267, 0.875715, 
0.438529, 0.175696, 
0.0130778, 1.16379, 
0.190654, 0.831887, 
0.218282, 0.652429, 
0.838668, -0.437431, 
0.0795518, 0.964291, 
0.423761, 0.275514, 
0.843878, -0.51693, 
0.631961, -0.0581261, 
0.0458735, 1.0222, 
0.442282, 0.0857776, 
0.209061, 0.752279, 
0.0245646, 1.08604, 
0.05095, 0.967161, 
0.627403, 0.0184369, 
0.418986, 0.3613, 
0.634489, -0.11308, 
0.217128, 0.751449, 
0.00780971, 1.24929, 
0.0329854, 1.07456, 
