x1, x2, 
0.0683829, 1.05375, 
0.416766, 0.471397, 
0.433712, 0.271021, 
0.829316, -0.246174, 
0.224081, 0.72305, 
0.447368, 0.159414, 
0.0395282, 1.14105, 
0.42371, 0.394457, 
0.185895, 0.928669, 
0.00471144, 1.20703, 
0.63038, -0.0829144, 
0.640971, -0.128808, 
0.198447, 0.838206, 
0.420779, 0.403616, 
0.238599, 0.616272, 
0.211598, 0.752558, 
0.841447, -0.444093, 
0.432907, 0.286967, 
0.840722, -0.412565, 
0.431454, 0.325552, 
0.228655, 0.651049, 
0.624737, 0.0798166, 
0.0901522, 1.01869, 
0.424524, 0.329566, 
0.00290938, 1.25602, 
0.453766, 0.154366, 
0.628807, -0.00958451, 
0.834927, -0.39149, 
0.0203102, 1.15409, 
0.242366, 0.562781, 
0.418848, 0.458714, 
0.193801, 0.897681, 
0.205762, 0.778981, 
0.833965, -0.320771, 
0.211025, 0.770646, 
0.426236, 0.326801, 
0.628229, 0.0126922, 
0.225123, 0.714027, 
0.0937997, 0.95184, 
0.0421875, 1.0776, 
0.0856983, 1.04988, 
0.415922, 0.473485, 
0.842011, -0.452133, 
0, 1.35009, 
0.0600684, 1.05509, 
0.41397, 0.49959, 
0.242739, 0.532962, 
0.6271, 0.0760478, 
0.192894, 0.92361, 
0.221406, 0.73909, 
0.846888, -0.517471, 
0.226881, 0.68284, 
0.435149, 0.244393, 
0.43839, 0.163782, 
0.238689, 0.60292, 
0.82952, -0.320315, 
0.829408, -0.268103, 
0.63841, -0.0927026, 
0.457315, 0.11013, 
0.646584, -0.203677, 
0.853795, -0.495976, 
0, 1.41121, 
0.415931, 0.491598, 
0.24674, 0.546376, 
0.657876, -0.182218, 
0.830136, -0.2488, 
0.464942, 0.147626, 
0.6199, 0.131876, 
0.122741, 1.00118, 
0.192897, 0.963539, 
0.0234899, 1.16727, 
0.204505, 0.912899, 
0.0118447, 1.26106, 
0.209621, 0.782538, 
0.0037855, 1.31895, 
0.837768, -0.371433, 
0.848223, -0.433066, 
0.436768, 0.266369, 
0.23848, 0.666625, 
0.421956, 0.404558, 
0.628387, 0.0199625, 
0.224271, 0.739362, 
0.242251, 0.635326, 
0.832959, -0.296437, 
0.0906339, 1.03533, 
0.428611, 0.338035, 
0.0457244, 1.10632, 
0.637401, -0.022193, 
0.0740531, 1.07618, 
0.624922, 0.089944, 
0.452943, 0.247143, 
0.646173, -0.078855, 
0.460222, 0.189214, 
0.425541, 0.370287, 
0.647525, -0.150394, 
0.0576776, 1.09878, 
0.0883534, 1.05777, 
0.640961, -0.068479, 
0.22368, 0.772519, 
0.453671, 0.204729, 
